date,close,down,downSize,recovery,redMark,,val
26-Aug-11,2004.11,1,22.68,502,1,,2312.49
29-Aug-11,2061.05,1,26.16,503,1,,2312.49
30-Aug-11,2066.37,1,26.49,504,1,,2312.49
31-Aug-11,2076.78,1,27.13,505,1,,2312.49
1-Sep-11,2052.3,1,25.63,506,1,,2312.49
2-Sep-11,2000.5,1,22.46,507,1,,2312.49
6-Sep-11,1985.67,1,21.55,508,1,,2312.49
7-Sep-11,2043.05,1,25.06,509,1,,2312.49
8-Sep-11,2021.42,1,23.74,510,1,,2312.49
9-Sep-11,1967.47,1,20.44,511,1,,2312.49
12-Sep-11,1981.3,1,21.28,512,1,,2312.49
13-Sep-11,2000.08,1,22.43,513,1,,2312.49
14-Sep-11,2027.04,1,24.08,514,1,,2312.49
15-Sep-11,2062.25,1,26.24,515,1,,2312.49
16-Sep-11,2074.06,1,26.96,516,1,,2312.49
19-Sep-11,2053.74,1,25.72,517,1,,2312.49
20-Sep-11,2050.39,1,25.51,518,1,,2312.49
21-Sep-11,1990.2,1,21.83,519,1,,2312.49
22-Sep-11,1926.76,1,17.94,520,1,,2312.49
23-Sep-11,1938.73,1,18.68,521,1,,2312.49
26-Sep-11,1983.97,1,21.45,522,1,,2312.49
27-Sep-11,2005.19,1,22.74,523,1,,2312.49
28-Sep-11,1964.2,1,20.24,524,1,,2312.49
29-Sep-11,1980.23,1,21.22,525,1,,2312.49
30-Sep-11,1930.79,1,18.19,526,1,,2312.49
3-Oct-11,1875.95,1,14.83,527,1,,2312.49
4-Oct-11,1918.39,1,17.43,528,1,,2312.49
5-Oct-11,1953.67,1,19.59,529,1,,2312.49
6-Oct-11,1989.61,1,21.79,530,1,,2312.49
7-Oct-11,1973.42,1,20.8,531,1,,2312.49
10-Oct-11,2040.76,1,24.92,532,1,,2312.49
11-Oct-11,2041.9,1,24.99,533,1,,2312.49
12-Oct-11,2062.22,1,26.24,534,1,,2312.49
13-Oct-11,2056.26,1,25.87,535,1,,2312.49
14-Oct-11,2091.99,1,28.06,536,1,,2312.49
17-Oct-11,2051.54,1,25.58,537,1,,2312.49
18-Oct-11,2093.43,1,28.15,538,1,,2312.49
19-Oct-11,2067.28,1,26.55,539,1,,2312.49
20-Oct-11,2076.75,1,27.12,540,1,,2312.49
21-Oct-11,2115.86,1,29.52,541,1,,2312.49
24-Oct-11,2143.13,1,31.19,542,1,,2312.49
25-Oct-11,2100.17,1,28.56,543,1,,2312.49
26-Oct-11,2122.32,1,29.91,544,1,,2312.49
27-Oct-11,2195.22,1,34.38,545,1,,2312.49
28-Oct-11,2196.13,1,34.43,546,1,,2312.49
31-Oct-11,2141.81,1,31.11,547,1,,2312.49
1-Nov-11,2081.97,1,27.44,548,1,,2312.49
2-Nov-11,2115.7,1,29.51,549,1,,2312.49
