date	close	down	downSize	recovery
15-Jun-12	2328.66	1	42.55	704
18-Jun-12	2332.07	1	42.75	705
19-Jun-12	2355.01	1	44.16	706
20-Jun-12	2351.14	1	43.92	707
21-Jun-12	2299.16	1	40.74	708
22-Jun-12	2315.65	1	41.75	709
25-Jun-12	2278.98	1	39.5	710
26-Jun-12	2289.86	1	40.17	711
27-Jun-12	2310.98	1	41.46	712
28-Jun-12	2306.22	1	41.17	713
29-Jun-12	2363.79	1	44.7	714
2-Jul-12	2369.75	1	45.06	715
3-Jul-12	2385.06	1	46	716
5-Jul-12	2373.91	1	45.32	717
6-Jul-12	2352.34	1	43.99	718
9-Jul-12	2348.52	1	43.76	719
10-Jul-12	2329.46	1	42.59	720
11-Jul-12	2329.71	1	42.61	721
12-Jul-12	2318.09	1	41.9	722
13-Jul-12	2356.4	1	44.24	723
16-Jul-12	2350.94	1	43.91	724
17-Jul-12	2368.36	1	44.98	725
18-Jul-12	2384.54	1	45.97	726
19-Jul-12	2391.27	1	46.38	727
20-Jul-12	2367.26	1	44.91	728
23-Jul-12	2346.22	1	43.62	729
24-Jul-12	2325.02	1	42.32	730
25-Jul-12	2324.33	1	42.28	731
26-Jul-12	2362.85	1	44.64	732
27-Jul-12	2408.07	1	47.41	733
30-Jul-12	2406.99	1	47.34	734
31-Jul-12	2396.62	1	46.71	735
1-Aug-12	2389.73	1	46.28	736
2-Aug-12	2372.31	1	45.22	737
3-Aug-12	2417.77	1	48	738
6-Aug-12	2423.46	1	48.35	739
7-Aug-12	2435.88	1	49.11	740
8-Aug-12	2438.16	1	49.25	741
9-Aug-12	2440.23	1	49.37	742
10-Aug-12	2445.64	1	49.71	743
13-Aug-12	2443.05	1	49.55	744
14-Aug-12	2443.16	1	49.55	745
15-Aug-12	2446.82	1	49.78	746
16-Aug-12	2464.38	1	50.85	747
17-Aug-12	2469	0	51.14	748
20-Aug-12	2468.99	0	51.14	749
21-Aug-12	2460.41	0	50.61	750
22-Aug-12	2461.12	0	50.65	751
23-Aug-12	2441.29	0	49.44	752
24-Aug-12	2457.4	0	50.43	753
27-Aug-12	2456.22	0	50.35	754
28-Aug-12	2454.39	0	50.24	755
29-Aug-12	2457.05	0	50.4	756
30-Aug-12	2438.2	0	49.25	757
31-Aug-12	2450.6	0	50.01	758
4-Sep-12	2447.8	0	49.84	759
5-Sep-12	2445.81	0	49.72	760
6-Sep-12	2496.12	0	52.8	761
7-Sep-12	2506.37	0	53.42	762
10-Sep-12	2491.11	0	52.49	763
11-Sep-12	2498.95	0	52.97	764
12-Sep-12	2504.84	0	53.33	765
13-Sep-12	2546.03	0	55.85	766
14-Sep-12	2556.13	0	56.47	767
17-Sep-12	2548.26	1	55.99	768
18-Sep-12	2545.05	1	55.79	769
19-Sep-12	2548.11	1	55.98	770
20-Sep-12	2547.11	1	55.92	771
21-Sep-12	2546.92	1	55.91	772
24-Sep-12	2541.23	1	55.56	773
