ticker,id,company,2yr div cagr,2yr cagr stock price ,
NWL,174,NEWELL BRANDS IN,12.55,20.43,
SYK,175,STRYKER CORP,12.43,29.01,
DPS,176,DR PEPPER SNAPPL,12.39,30.78,
PSA,177,PUBLIC STORAGE,12.34,26.22,
FL,178,FOOT LOCKER INC,11.84,29.98,
IVZ,179,INVESCO LTD,11.84,-18.84,
CBS,180,CBS CORP-B,11.8,16.65,
RHI,181,ROBERT HALF INTL,11.8,-13.87,
APA,182,APACHE CORP,11.8,4.74,
OMC,183,OMNICOM GROUP,11.8,15.63,
ORCL,184,ORACLE CORP,11.79,-12.67,
ROK,185,ROCKWELL AUTOMAT,11.79,25.67,
GS,186,GOLDMAN SACHS GP,11.53,25.87,
WU,187,WESTERN UNION,11.36,28.64,
XLNX,188,XILINX INC,11.27,46.53,
HSY,189,HERSHEY CO/THE,11.15,2.78,
YUM,190,YUM! BRANDS INC,11.12,25.8,
PEP,191,PEPSICO INC,11.08,15.52,
MAS,192,MASCO CORP,11.06,46.2,
GD,193,GENERAL DYNAMICS,11,28.83,
AIV,194,APARTMENT INVEST,10.87,27.61,
MMC,195,MARSH & MCLENNAN,10.87,21.46,
FMC,196,FMC CORP,10.55,1.18,
FLIR,197,FLIR SYSTEMS,10.55,13.46,
CMA,198,COMERICA INC,10.48,50.05,
TWX,199,TIME WARNER INC,10.34,16.75,
XRX,200,XEROX CORP,10.34,-34.02,
TRV,201,TRAVELERS COS IN,10.19,19.82,
AWK,202,AMERICAN WATER W,10.19,39.39,
MJN,203,MEAD JOHNSON,10.15,-27.37,
MON,204,MONSANTO CO,10.14,-9.43,
AET,205,AETNA INC,10.1,40.13,
BDX,206,BECTON DICKINSON,10.03,22.36,
ATVI,207,ACTIVISION BLIZZ,10.02,81.69,
XYL,208,XYLEM INC,9.98,32.77,
ALB,209,ALBEMARLE CORP,9.92,47.28,
WEC,210,WEC ENERGY GROUP,9.73,17,
BF/B,211,BROWN-FORMAN -B,9.61,4.08,
ALL,212,ALLSTATE CORP,9.54,8.51,
EXPD,213,EXPEDITORS INTL,9.54,22.29,
R,214,RYDER SYSTEM INC,9.54,-16.95,
UDR,215,UDR INC,9.54,23.53,
FOX,216,TWENTY-FIRST - B,9.53,-25.03,
FOXA,217,TWENTY-FIRST C-A,9.53,-25.83,
PAYX,218,PAYCHEX INC,9.53,38.82,
NTAP,219,NETAPP INC,9.48,-11.03,
AAPL,220,APPLE INC,9.47,7.01,
CHD,221,CHURCH & DWIGHT,9.38,14.49,
EQR,222,EQUITY RESIDENTI,9.3,9.45,
JPM,223,JPMORGAN CHASE,9.29,44.51,
MSI,224,MOTOROLA SOLUTIO,9.22,28.38,
CNP,225,CENTERPOINT ENER,9.21,14.23,
PX,226,PRAXAIR INC,9.16,-6.1,
ESS,227,ESSEX PROPERTY,9.09,16.81,
HRS,228,HARRIS CORP,9.04,47.74,
RTN,229,RAYTHEON CO,9.02,36.12,
CSX,230,CSX CORP,8.95,3.5,
MDLZ,231,MONDELEZ INTER-A,8.87,23.71,
SE,232,SPECTRA ENERG,8.81,23.02,
ACN,233,ACCENTURE PLC-A,8.74,35.33,
FIS,234,FIDELITY NATIONA,8.71,23.48,
LLL,235,L3 TECHNOLOGIES,8.71,23.81,
MO,236,ALTRIA GROUP INC,8.6,46.62,
TIF,237,TIFFANY & CO,8.59,-24.68,
KO,238,COCA-COLA CO/THE,8.56,3.44,
SPGI,239,S&P GLOBAL INC,8.56,22.49,
UPS,240,UNITED PARCEL-B,8.51,8.35,
MKC,241,MCCORMICK-N/V,8.47,27.8,
RL,242,RALPH LAUREN COR,8.41,-49.63,
MCK,243,MCKESSON CORP,8.34,-32.21,
BK,244,BANK NY MELLON,8.28,19.55,
RSG,245,REPUBLIC SVCS,8.25,47.77,
XOM,246,EXXON MOBIL CORP,8.2,3.97,
LNT,247,ALLIANT ENERGY,8.18,19.81,
PNC,248,PNC FINANCIAL SE,8.1,32.61,
LLTC,249,LINEAR TECH CORP,8.1,43.02,
AVB,250,AVALONBAY COMMUN,8.08,13.07,
PFE,251,PFIZER INC,8.01,11.06,
NEE,252,NEXTERA ENERGY,8.01,17.6,
HAR,253,HARMAN INTL,8,7.07,
UTX,254,UNITED TECH CORP,7.99,-0.85,
PPG,255,PPG INDS INC,7.95,-15.83,
GE,256,GENERAL ELECTRIC,7.91,31.83,
FRT,257,FED REALTY INVS,7.72,9.68,
OXY,258,OCCIDENTAL PETE,7.71,-4.88,
XRAY,259,DENTSPLY SIRONA,7.7,9.37,
STJ,260,ST JUDE MEDICAL,7.65,24.95,
NSC,261,NORFOLK SOUTHERN,7.56,2.96,
DNB,262,DUN & BRADSTREET,7.53,2.52,
KLAC,263,KLA-TENCOR CORP,7.49,17.91,
SJM,264,JM SMUCKER CO,7.47,30.56,
XEL,265,XCEL ENERGY INC,7.38,20.09,
D,266,DOMINION RES/VA,7.29,5.47,
GIS,267,GENERAL MILLS IN,7.11,20.75,
NTRS,268,NORTHERN TRUST,7.07,36.15,
ADI,269,ANALOG DEVICES,7.02,37.98,
GPC,270,GENUINE PARTS CO,6.97,-6.36,
XEC,271,CIMAREX ENERGY C,6.9,27.94,
BBT,272,BB&T CORP,6.83,26.87,
USB,273,US BANCORP,6.83,18.33,
KIM,274,KIMCO REALTY,6.79,5.8,
JNJ,275,JOHNSON&JOHNSON,6.68,15.78,
CMS,276,CMS ENERGY CORP,6.64,25.75,
WBA,277,WALGREENS BOOTS,6.61,12.68,
ES,278,EVERSOURCE ENERG,6.59,8.03,
GRMN,279,GARMIN LTD,6.48,0.34,
BHI,280,BAKER HUGHES INC,6.46,18.44,
HP,281,HELMERICH & PAYN,6.45,26.56,
HAS,282,HASBRO INC,6.38,48.66,
DOV,283,DOVER CORP,6.35,7.15,
PM,284,PHILIP MORRIS IN,6.23,21.58,
CL,285,COLGATE-PALMOLIV,6.2,-2.34,
